epoch,frame,norm_fu,norm_fu_mg1,loss,walltime,memory,error_u,rel_error_u,residual_u,weight_pde,weight_mg
0,0,2265.0550377378254,1997.881777752724,9122005.921857886,0.42536187171936035,343.84375,0.4841352906418049,1.0,2265.055037737826,1.0,1.0
1,1,2265.0550377378254,1997.881777752724,9122005.921857886,0.5348670482635498,395.96875,0.4767222515403666,0.9846880835900003,2226.1655977791115,1.0,1.0
2,1,2226.165597779111,1949.2200555268146,8755272.093603184,0.5351917743682861,395.96875,0.4687810366749194,0.9682851998941643,2187.9767007739583,1.0,1.0
3,1,2187.976700773958,1901.8362988153854,8404223.350621497,0.53548264503479,395.96875,0.4611676488654066,0.9525594555481575,2153.3441791088576,1.0,1.0
4,1,2153.3441791088585,1856.3660807629662,8082986.17950926,0.5358660221099854,395.96875,0.4540325662661104,0.9378216689475619,2120.643455162391,1.0,1.0
5,1,2120.6434551623915,1812.0031604523972,7780484.1174125625,0.536201000213623,395.984375,0.447236735434242,0.9237846198763006,2089.76169506608,1.0,1.0
6,1,2089.761695066081,1768.8277925946786,7495855.702020822,0.5364768505096436,396.0,0.44070324792849497,0.9102894510009109,2061.0175807324467,1.0,1.0
7,1,2061.0175807324463,1727.1034002486515,7230679.623238681,0.5367701053619385,396.0,0.4343548050697577,0.8971764989367857,2034.4471741600917,1.0,1.0
8,1,2034.447174160092,1686.9515656946555,6984780.889447633,0.537041187286377,396.015625,0.4281200844661495,0.884298444549668,2009.703428845617,1.0,1.0
9,1,2009.7034288456177,1648.3106277462127,6755835.797454946,0.5373022556304932,396.015625,0.42197636331951294,0.8716083530289859,1986.449398042737,1.0,1.0
10,1,1986.4493980427371,1611.1094352158264,6541654.823225811,0.5375950336456299,396.03125,0.4159459373740506,0.8591522770889982,1964.6000531404193,1.0,1.0
20,1,1804.3317775090088,1314.0380150224144,4982309.068252865,0.5401902198791504,396.046875,0.36334875340875883,0.7505107775288956,1787.123107661026,1.0,1.0
30,1,1620.4879390095482,1109.58562704382,3857161.4242176404,0.5427329540252686,396.0625,0.31625692570262026,0.6532408023454913,1601.2751953006994,1.0,1.0
40,1,1434.1508011752128,956.2865323331048,2971272.452433179,0.5452699661254883,396.078125,0.2767774118968103,0.5716943533075106,1416.6610322759755,1.0,1.0
50,1,1270.2908326641661,824.8481063320182,2294013.198070137,0.5477683544158936,396.078125,0.2482036194763834,0.5126740898135037,1255.1545274394114,1.0,1.0
