epoch,loss,pde,cont,mom,bc,data,eik,area,phi_anchor,err_u,err_chi,kphi,weight_pde,weight_bc,weight_data,weight_eik,weight_area,weight_phi_anchor
1,116.31342345923404,116.30005783567023,6.986041495949695,109.31401633972054,0.0,0.0,0.01338029001833457,0.0038697148188085654,0.060584033907023875,0.43766412598614296,3.7019693854076756,9.993070929904524,1.0,10.0,100.0,0.01,0.001,0.0
200,37.96742558756938,37.962763665635315,6.031506588168037,31.93125707746728,0.00045829932310971944,0.0,9.887302298251765e-05,0.0039969635112384935,0.06147651901602216,0.4426535100097537,3.755463743835172,8.705505632961241,0.16310489100600178,27.670635641431083,100.0,0.013760682867391235,0.0016101780194894826,0.0
400,5.0445274582739605,30.925856222153826,5.729633867205688,25.196222354948137,1.2293175398908572e-05,0.0,2.8409649108881485e-05,0.003997401524000887,0.06158843301263954,0.4334270442051099,3.755650326850636,7.57858283255199,0.020046423100336153,135.44203092016028,100.0,0.019844029267238574,0.0018560077762067632,0.0
600,0.5989434802346806,29.87666647909587,5.676143104735616,24.200523374360255,4.220036515351691e-09,0.0,1.7589016417141562e-05,0.003997225074061801,0.06161518764249307,0.43161436936977365,3.7555751395223664,6.597539553864471,0.0014366621149976598,2815.6274267314743,100.0,0.01998845611055022,0.0012367756399482958,0.0
800,0.04277981985036457,29.766504578675207,5.670293354129817,24.09621122454539,5.418835684817228e-10,0.0,1.3560344390459197e-05,0.003996971558454401,0.06162433973035076,0.43141673448390366,3.7554709222174134,5.743491774985174,8.763385265276865e-05,83147.25512993315,100.0,0.01958271009860891,0.0007008214462827422,0.0
1000,0.002658126171863148,29.757857017012512,5.669830087348427,24.088026929664085,5.029407734886212e-10,0.0,1.1666036907678787e-05,0.003996816178214553,0.06162556456544554,0.4314011506161742,3.7554077777558645,5.0,1e-05,100000.0,100.0,0.02069011753200977,0.00038484410772319605,0.0
1200,0.0003315413460249238,29.75694498008373,5.66978076950603,24.0871642105777,2.829970207367142e-10,0.0,1.0546069204496892e-05,0.003996653027496814,0.061624869570355824,0.4313994927132253,3.75533472238201,4.352752816480621,1e-05,100000.0,100.0,0.022638029985559156,0.00019910907735970056,0.0
1400,0.00032292517868571217,29.756171951868275,5.669738975691299,24.086432976176976,2.1384547315831958e-10,0.0,9.792754824043888e-06,0.003996523535548711,0.06162374319603121,0.4313980892607407,3.7552762126314883,3.7892914162759954,1e-05,100000.0,100.0,0.025996787353047942,9.90277109931166e-05,0.0
1600,0.000316166660428729,29.75528742344821,5.669691251424529,24.08559617202368,1.5606154282121708e-10,0.0,9.232711493517483e-06,0.003996391194531622,0.06162252642178205,0.43139648748609755,3.7552144739836537,3.2987697769322355,1e-05,100000.0,100.0,0.031176075495694698,4.728787785396816e-05,0.0
1800,0.00031094593081533017,29.75428381100417,5.669637159464663,24.084646651539508,1.0956153695910251e-10,0.0,8.782208422918249e-06,0.003996247007300045,0.06162128366300654,0.4313946734416929,3.755145528732834,2.871745887492587,1e-05,100000.0,100.0,0.0388838927577906,2.1640085611541395e-05,0.0
