epoch,loss,pde,cont,mom,bc,data,eik,area,phi_anchor,err_u,err_chi,kphi,weight_pde,weight_bc,weight_data,weight_eik,weight_area,weight_phi_anchor
1,116.31342345923404,116.30005783567023,6.986041495949695,109.31401633972054,0.0,0.0,0.01338029001833457,0.0038697148188085654,0.060584033907023875,0.43766412598614296,3.7019693854076756,9.993070929904524,1.0,10.0,100.0,0.01,0.001,0.0
200,37.96742558756938,37.962763665635315,6.031506588168037,31.93125707746728,0.00045829932310971944,0.0,9.887302298251765e-05,0.0039969635112384935,0.06147651901602216,0.4426535100097537,3.755463743835172,8.705505632961241,0.5,10.0,100.0,0.014268113198601176,0.0016695539366303892,0.0
400,11.623090212074061,23.24019625898314,5.268247332457248,17.97194892652589,0.00029529677879373785,0.0,3.957976051052464e-05,0.004000864702845607,0.061607636675224106,0.417501099319788,3.757099905579023,7.57858283255199,0.5,10.0,100.0,0.024836859730908354,0.002523352280808076,0.0
600,7.256369114195823,14.50206336136583,4.519540226724937,9.982523134640893,0.0005284776431007468,0.0,3.9350593295420924e-05,0.004008819037226596,0.06170950112911655,0.3851695413205451,3.760723265851214,6.597539553864471,0.5,10.0,100.0,0.04532270293482903,0.0037248674945332,0.0
800,4.718078642159858,9.42820965862592,3.863563123149492,5.564646535476428,0.0003930832373026956,0.0,1.8750876951876447e-05,0.004012544009161151,0.061762248876965416,0.3513197371025133,3.762580032098058,5.743491774985174,0.5,10.0,100.0,0.05,0.005,0.0
1000,3.2525462930049214,6.496222599573551,3.31151151492017,3.1847110846533813,0.00043960246490468114,0.0,1.512467924258157e-05,0.004012544009161151,0.061757709816286394,0.31918548513475153,3.762580032098058,5.0,0.5,10.0,100.0,0.05,0.005,0.0
1200,2.383411677101051,4.757389532288922,2.854288727640433,1.9031008046484894,0.0004684094084068178,0.0,1.3463364069856635e-05,0.004012544009161151,0.06175224205620427,0.2902241376519372,3.762580032098058,4.352752816480621,0.5,10.0,100.0,0.05,0.005,0.0
1400,1.8485742347511147,3.687298009530226,2.474605884280632,1.2126921252495937,0.0004896090005690276,0.0,1.264858479412297e-05,0.004011819994031604,0.06174648594433796,0.2648876080177792,3.7622061503512385,3.7892914162759954,0.5,10.0,100.0,0.05,0.005,0.0
1600,1.5026594463391054,2.9952404740475633,2.1552089324021058,0.8400315416454576,0.0005008466631025064,0.0,1.9690932438757936e-05,0.004005792818946977,0.06170498290058139,0.24305055721345856,3.7594336351932904,3.2987697769322355,0.5,10.0,100.0,0.05,0.005,0.0
1800,1.2578491572454795,2.504081621821843,1.8843630742400344,0.6197185475818088,0.0004910916388391295,0.0,0.00212930286593858,0.0038839907309933977,0.06133810048609199,0.22445249344389617,3.714029926575343,2.871745887492587,0.5,10.0,100.0,0.05,0.005,0.0
