epoch,loss,pde,cont,mom,bc,data,eik,area,phi_anchor,err_u,err_chi,kphi,weight_pde,weight_bc,weight_data,weight_eik,weight_area,weight_phi_anchor
1,135.0638555087053,135.05049022706714,7.833132943005774,127.21735728406138,0.0,0.0,0.01338029001833457,0.0035277891773375972,0.05698206554150499,0.475631482413678,3.7886484667466234,9.993070929904524,1.0,10.0,100.0,0.01,0.001,0.0
200,45.93388780382985,45.92732201966004,6.696479206637745,39.23084281302229,0.0006363347883028076,0.0,0.0002622932846930605,0.003655148331224643,0.05783995414586439,0.4878217521034884,3.844818086567495,8.705505632961241,1.0,10.0,100.0,0.01,0.001,0.0
400,20.648308717450536,20.63460249030101,5.240772842600947,15.393829647700061,0.0013646814281604153,0.0,9.706404941958594e-05,0.0036642109752387645,0.05809890730022998,0.44422229078534076,3.849699680782898,7.57858283255199,1.0,10.0,100.0,0.01,0.001,0.0
600,10.62478665889698,10.606647917742741,4.141143446929574,6.465504470813167,0.0018122574233404229,0.0,2.8723661918235646e-05,0.0036642208043276853,0.05815950395482294,0.3920177753221322,3.849705435286051,6.597539553864471,1.0,10.0,100.0,0.01,0.001,0.0
800,6.318333362684093,6.297166699916038,3.3661010328178205,2.9310656670982174,0.0021155185315127507,0.0,2.368529073410392e-05,0.0036642208043276853,0.05816296963814915,0.3447169827596404,3.849705435286051,5.743491774985174,1.0,10.0,100.0,0.01,0.001,0.0
1000,4.2989760117030675,4.275783376214588,2.805075738197547,1.4707076380170407,0.0023183678028154196,0.0,2.117295808457454e-05,0.0036642208043276853,0.058160835198983886,0.3053501135489151,3.849705435286051,5.0,1.0,10.0,100.0,0.01,0.001,0.0
1200,3.260479460495952,3.236242923385262,2.3871575217936596,0.8490854015916026,0.0024229173670845764,0.0,1.9524595150632256e-05,0.0036642208043276853,0.058158254517300716,0.27384504449606073,3.849705435286051,4.352752816480621,1.0,10.0,100.0,0.01,0.001,0.0
1400,2.6644680458333596,2.6398947022669295,2.061799822744929,0.5780948795220009,0.002456532115494254,0.0,3.0364158197401375e-05,0.0036625041663521187,0.05814727265123837,0.24913070101842041,3.8487584036590023,3.7892914162759954,1.0,10.0,100.0,0.01,0.001,0.0
1600,2.2731923103848306,2.248886237322073,1.7967881813703714,0.4520980559517012,0.0024272486034679183,0.0,0.0002750722910699965,0.0036539858367286835,0.058065918635460234,0.22980257079852331,3.84527113588049,3.2987697769322355,1.0,10.0,100.0,0.01,0.001,0.0
1800,1.9157455141753994,1.8918733288586136,1.560057137893384,0.33181619096522946,0.0022900834919939925,0.0,0.011739869411365358,0.003172236862309336,0.05599142935448837,0.21390346919477118,3.6959154482754295,2.871745887492587,1.0,10.0,100.0,0.01,0.001,0.0
2000,1.6275852490592417,1.6061894777318861,1.3422401082071878,0.26394936952469844,0.0020820018140528798,0.0,0.009162912318433171,0.003071166924865778,0.05431099859579047,0.1994113178066704,3.6956420464034188,2.5,1.0,10.0,100.0,0.01,0.001,0.0
2200,1.3477181363232134,1.3304527714779022,1.1302048749932831,0.2002478964846191,0.0016299072649753332,0.0,0.020340227850280265,0.002854060580748401,0.053810965895619865,0.1915061419764071,3.7606506404040774,2.17637640824031,1.0,10.0,100.0,0.01,0.001,0.0
2400,1.1320580010011865,1.1179075523165547,0.9559777929483131,0.1619297593682416,0.0013319958434399597,0.0,0.023057445415758698,0.002801199622240399,0.053384243249134294,0.18478726287873243,3.785334728792443,1.8946457081379977,1.0,10.0,100.0,0.01,0.001,0.0
2600,0.9567257388305644,0.9440525748865594,0.8084930507584058,0.1355595241281535,0.0011993332230422205,0.0,0.024887987320853837,0.0027613579117847357,0.052672435284764035,0.1773969734686435,3.7906082168884825,1.6493848884661177,1.0,10.0,100.0,0.01,0.001,0.0
2800,0.8072784158825547,0.7955922544262166,0.6801291490562005,0.11546310537001618,0.001107413169845548,0.0,0.029553012725475364,0.0027261004069941575,0.05183753755560028,0.1698070381988304,3.7961721796576033,1.4358729437462938,1.0,10.0,100.0,0.01,0.001,0.0
3000,0.6781683074135791,0.6672548926792085,0.5678425778655477,0.09941231481366078,0.0010447768411698934,0.0,0.029628203687404694,0.0027056400560685,0.0510810059331194,0.16201275765341402,3.7951942550473143,1.25,1.0,10.0,100.0,0.01,0.001,0.0
3200,0.566215664200308,0.5560032936559892,0.4709107785528941,0.08509251510309518,0.0009764335935602774,0.0,0.03761060506116247,0.0026672870934987443,0.05040375433250579,0.1543984832895336,3.7976774064687517,1.088188204120155,1.0,10.0,100.0,0.01,0.001,0.0
3400,0.46930782904430346,0.4596076574056158,0.3874854569539206,0.07212220045169523,0.0009274910456930437,0.0,0.04226318233021981,0.002629358454989817,0.04967199495408671,0.14673980123605496,3.7954824269034035,1.0,1.0,10.0,100.0,0.01,0.001,0.0
3600,0.3875011061959443,0.3783010767203361,0.31676767672164763,0.061533399998688454,0.0008799154771879831,0.0,0.03982724902312781,0.002602213497106578,0.04890849504286189,0.13947217119400626,3.79130404260132,1.0,1.0,10.0,100.0,0.01,0.001,0.0
3800,0.3193908786685281,0.31044982945084676,0.257892864032075,0.05255696541877173,0.0008566541117769116,0.0,0.03719305658818867,0.0025775340303991878,0.0481475965387229,0.13259464570482699,3.7849636104382327,1.0,1.0,10.0,100.0,0.01,0.001,0.0
4000,0.26270217789043215,0.25416414297534784,0.20948476405911792,0.04467937891622993,0.0008126456447320109,0.0,0.04090441793563421,0.002534288407862439,0.04734939940396083,0.12614783928958548,3.7868166523475812,1.0,1.0,10.0,100.0,0.01,0.001,0.0
4200,0.21676649171202994,0.2085163900415042,0.17029439969678223,0.038221990344721984,0.0007857185187982805,0.0,0.039042396418032754,0.0024925183625968085,0.04636553749770736,0.12024528027761815,3.7924664787051614,1.0,1.0,10.0,100.0,0.01,0.001,0.0
4400,0.18044421301004981,0.17241865338667212,0.1393255701246761,0.033093083261996,0.0007663359176010459,0.0,0.035975611118648575,0.0024443361807266976,0.0453678384953959,0.11497822030303571,3.7873342331413213,1.0,1.0,10.0,100.0,0.01,0.001,0.0
4600,0.15183163827953766,0.14398375178581602,0.11517211126299547,0.02881164052282054,0.0007483391677484152,0.0,0.03621041116189126,0.002390704618570016,0.04425353928330514,0.11040977654567902,3.785252175920498,1.0,1.0,10.0,100.0,0.01,0.001,0.0
4800,0.12952877636527013,0.12190962730120788,0.09655044505768552,0.025359182243522356,0.0007293223163580941,0.0,0.03235769301356918,0.0023489703456361717,0.04314223698459119,0.10633787677560268,3.77584331791465,1.0,1.0,10.0,100.0,0.01,0.001,0.0
5000,0.11232294169849014,0.10485812056407623,0.08233253306770753,0.0225255874963687,0.0007122013979043106,0.0,0.034050596252336265,0.0023011928474434046,0.041948597744940856,0.10269482916811148,3.772818201853213,1.0,1.0,10.0,100.0,0.01,0.001,0.0
5200,0.09859065535498096,0.09133560483983973,0.07143427351591669,0.01990133132392304,0.0006876336172308926,0.0,0.03764462855350299,0.0022680572972778985,0.04069491149696521,0.09950324663036976,3.7749804851617097,1.0,1.0,10.0,100.0,0.01,0.001,0.0
5400,0.08804069216697114,0.08086995191618777,0.06280557020761397,0.018064381708573794,0.0006778264500822618,0.0,0.03902424232763821,0.0022333266843624464,0.0393923366055534,0.09676597170791332,3.7802609201466417,1.0,1.0,10.0,100.0,0.01,0.001,0.0
5600,0.08003774093793507,0.07294469112474755,0.05644111222355775,0.016503578901189794,0.0006722100662682637,0.0,0.03687400789242944,0.0022090715805880255,0.038088828690662546,0.09436039169766763,3.7793213552785763,1.0,1.0,10.0,100.0,0.01,0.001,0.0
5800,0.07350046855994927,0.06682213197242959,0.05163034401864293,0.015191787953786659,0.0006345813426245192,0.0,0.03303498081784714,0.002173353096003824,0.037017468117199144,0.0922223703826558,3.7693044873620356,1.0,1.0,10.0,100.0,0.01,0.001,0.0
6000,0.06851071836301578,0.061838721272280926,0.047835021655051685,0.014003699617229243,0.0006337440400330178,0.0,0.033241652089506815,0.0021401695096150437,0.03607789067237718,0.09031076169074664,3.7615171521470434,1.0,1.0,10.0,100.0,0.01,0.001,0.0
6200,0.06410464394159385,0.05766734884779168,0.0447505858785556,0.012916762969236079,0.0006118546731731568,0.0,0.031663561295201315,0.002112749118588113,0.03522038391599509,0.08857110155220294,3.751826683404341,1.0,1.0,10.0,100.0,0.01,0.001,0.0
6400,0.06049874062903618,0.054249419641969804,0.042247373575763345,0.012002046066206463,0.0005928097675748285,0.0,0.03191328727476814,0.002090438570414634,0.034466137872299504,0.08699898401372656,3.7424094562081986,1.0,1.0,10.0,100.0,0.01,0.001,0.0
6600,0.05744083200772056,0.05132828331480632,0.04018821561539956,0.011140067699406763,0.0005806112718175485,0.0,0.0304367257267592,0.0020687174711577767,0.03375853633824081,0.08558550639716579,3.736386942093027,1.0,1.0,10.0,100.0,0.01,0.001,0.0
6800,0.055000576159950486,0.04887983144049668,0.03845231357881562,0.010427517861681055,0.0005818797553279874,0.0,0.029990149823462958,0.0020456679393000762,0.03311309979067506,0.08429766221163862,3.731996727741071,1.0,1.0,10.0,100.0,0.01,0.001,0.0
7000,0.052582044130785106,0.04672348351820423,0.03697426103637073,0.009749222481833505,0.0005563709201080517,0.0,0.029281758721655574,0.002033824283799252,0.03254226679489963,0.08311067160115689,3.729615171649432,1.0,1.0,10.0,100.0,0.01,0.001,0.0
7200,0.050610301581586546,0.04481447131824238,0.03570221031483784,0.009112261003404539,0.0005510212167863214,0.0,0.02836020278773786,0.0020160676035712887,0.03191657722260913,0.08202951723802045,3.7246199046593205,1.0,1.0,10.0,100.0,0.01,0.001,0.0
7400,0.04890664203399058,0.04318558824437721,0.03459458962830377,0.008590998616073441,0.0005441894993078689,0.0,0.02771583648429125,0.0020004316917693193,0.031298411080540156,0.08103871541327495,3.7213732558623125,1.0,1.0,10.0,100.0,0.01,0.001,0.0
7600,0.04739790781533767,0.041730087818858896,0.033624947294557395,0.008105140524301504,0.0005398653683365987,0.0,0.026718718516577936,0.0019791279470038814,0.030773801231786285,0.08012034994975549,3.719326488141352,1.0,1.0,10.0,100.0,0.01,0.001,0.0
7800,0.04608893086921155,0.0404688087596126,0.03275872779086097,0.00771008096875163,0.0005348015166979254,0.0,0.027014510153015165,0.0019618410895483945,0.03031232743333686,0.0792748846054904,3.716166823942437,1.0,1.0,10.0,100.0,0.01,0.001,0.0
8000,0.04471984728128881,0.03926519475635821,0.03198496577316321,0.007280228983194997,0.000519801282548429,0.0,0.025469197059239126,0.0019477288539242862,0.029906460880626387,0.07850123298311547,3.7127931259743283,1.0,1.0,10.0,100.0,0.01,0.001,0.0
8200,0.04356454947726285,0.03823014893355626,0.03128189266300978,0.006948256270546484,0.0005078964211981816,0.0,0.02535012079750939,0.0019351237496791714,0.029541964734013413,0.07778316912224695,3.709168527981368,1.0,1.0,10.0,100.0,0.01,0.001,0.0
8400,0.04255106081392633,0.037265029290928654,0.030648865183591698,0.006616164107336959,0.0005055108695113811,0.0,0.022899125628919603,0.001931571594674115,0.029244731417876393,0.07712125785469415,3.7067269600301493,1.0,1.0,10.0,100.0,0.01,0.001,0.0
8600,0.041646390244410546,0.03640802907749528,0.030084191643138844,0.006323837434356435,0.0004998768299219224,0.0,0.023767281627102184,0.0019200514250158947,0.028952830206035625,0.0764971399435277,3.7005234473378263,1.0,1.0,10.0,100.0,0.01,0.001,0.0
8800,0.040699520109315164,0.03568317403821383,0.029571632143035622,0.006111541895178213,0.00047897291586594546,0.0,0.022470230364292517,0.0019146087989539992,0.028712335046716823,0.0759060531662048,3.6971550067503345,1.0,1.0,10.0,100.0,0.01,0.001,0.0
9000,0.0399994279160416,0.034881632433235686,0.0290999121496168,0.005781720283618884,0.0004895424946615658,0.0,0.022048143804086883,0.001889098149386775,0.02848445839179242,0.07533936922122011,3.6914951260247824,1.0,1.0,10.0,100.0,0.01,0.001,0.0
9200,0.03923089436480139,0.03427681523428587,0.02865128241698436,0.005625532817301506,0.0004735541823460344,0.0,0.021667623466669804,0.0018610723884853763,0.028226697705656924,0.07481237761640872,3.6861141851632873,1.0,1.0,10.0,100.0,0.01,0.001,0.0
9400,0.03883832671853992,0.03378243924981498,0.028254093607203892,0.005528345642611083,0.00048394464803254585,0.0,0.021460333425462254,0.001837654144863873,0.027994873688650102,0.07433501420715573,3.681903368479666,1.0,1.0,10.0,100.0,0.01,0.001,0.0
9600,0.0381819877661762,0.0332708481937866,0.027885928350845458,0.0053849198429411355,0.00047068767168656055,0.0,0.020243811912563563,0.0018247363983661367,0.027802178914547976,0.07388829329936844,3.6801553666640268,1.0,1.0,10.0,100.0,0.01,0.001,0.0
9800,0.037668190163665974,0.03277914725048666,0.027519620694196285,0.005259526556290379,0.0004681793120927761,0.0,0.020545280091675153,0.0017969913347961114,0.027636860078457587,0.07348189993091249,3.6760713898140174,1.0,1.0,10.0,100.0,0.01,0.001,0.0
10000,0.037196192301844073,0.032359942056952536,0.027181722736461245,0.005178219320491293,0.0004630585383413637,0.0,0.02038735847269589,0.0017912767509406908,0.02753617284736227,0.07312209771429347,3.6755725982915735,1.0,1.0,10.0,100.0,0.01,0.001,0.0
10200,0.036780822773445555,0.031948124198787696,0.026870494500015506,0.005077629698772189,0.0004627517483290019,0.0,0.02033941233425055,0.0017869680253345672,0.027415288268003983,0.07279821365560414,3.6764070250247913,1.0,1.0,10.0,100.0,0.01,0.001,0.0
10400,0.03634459291401211,0.031614603867116474,0.026583862870318015,0.005030740996798462,0.00045318222176738424,0.0,0.019638782876412457,0.001779000457669128,0.02729533872904466,0.07249100939331728,3.6754431435533217,1.0,1.0,10.0,100.0,0.01,0.001,0.0
10600,0.03582442786643154,0.03122511964460726,0.026310367394709912,0.004914752249897346,0.0004402675157538638,0.0,0.019485905275571595,0.0017740115299234992,0.02718497100479109,0.07220772793983712,3.6699226151302375,1.0,1.0,10.0,100.0,0.01,0.001,0.0
10800,0.035644588154193746,0.03092844206744872,0.026057088650759723,0.004871353416688995,0.0004526956829825587,0.0,0.018742931681387465,0.0017599401055586972,0.02708318213872362,0.07197145351565588,3.662020921784446,1.0,1.0,10.0,100.0,0.01,0.001,0.0
11000,0.03521976155808016,0.03062647345692515,0.025817448296571215,0.004809025160353935,0.0004408784958056526,0.0,0.01827476215980602,0.001755521500427211,0.027042864359479307,0.07174557058416382,3.656464983041768,1.0,1.0,10.0,100.0,0.01,0.001,0.0
11200,0.035007388730551696,0.030341059585895693,0.02559703281163847,0.004744026774257224,0.0004477024023482986,0.0,0.018755873670162727,0.0017463844713894276,0.026967304068603093,0.07153511529359259,3.65063063708187,1.0,1.0,10.0,100.0,0.01,0.001,0.0
11400,0.034830728357422375,0.03014542869800631,0.02539933948469874,0.00474608921330757,0.0004492246081402056,0.0,0.01913098029173858,0.001743775096622814,0.026887012281678026,0.07134298340872394,3.6479217559602874,1.0,1.0,10.0,100.0,0.01,0.001,0.0
11600,0.034512425807328474,0.029965739453682874,0.025213733882361252,0.004752005571321621,0.00043553529749429447,0.0,0.018958875317664083,0.001744625526008031,0.026808233133012366,0.07116632818706253,3.6473604890798383,1.0,1.0,10.0,100.0,0.01,0.001,0.0
11800,0.0342912173821287,0.02972021339813574,0.025040012816215346,0.004680200581920393,0.0004383391485460806,0.0,0.01858845040748227,0.001727994457334357,0.026713156040884634,0.07099426910644363,3.6391364056517537,1.0,1.0,10.0,100.0,0.01,0.001,0.0
12000,0.03395203318987083,0.0295077718337799,0.0248762289490553,0.004631542884724603,0.0004251946322113159,0.0,0.019059576177466613,0.0017192722031047225,0.026619445412421387,0.07081906753307617,3.635367464938353,1.0,1.0,10.0,100.0,0.01,0.001,0.0
12200,0.03396371910401405,0.02934820880903724,0.024717102869418455,0.004631105939618785,0.00044336746600596625,0.0,0.018011733226437277,0.0017183026527685045,0.026583594409597185,0.07065578900804981,3.636501441521182,1.0,1.0,10.0,100.0,0.01,0.001,0.0
