epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
0,0,2.378678321838379,2.378678321838379,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,0.9762160778045654,344.0,0.29964867,0.29889962,1.0,1.0,10.0,0.01,1.0
1,1,2.378678321838379,2.378678321838379,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,1.2899963855743408,457.78125,0.2794699,0.28277183,1.0,1.0,10.0,0.01,1.0
2,1,2.219590902328491,2.218494415283203,22.173011779785156,0.0,0.0,0.0,0.0,501.4907531738281,1.4238035678863525,483.84375,0.2595402,0.26393884,1.0,1.0,10.0,0.01,1.0
3,1,2.087455987930298,2.0602874755859375,20.57343864440918,0.37221819162368774,0.37528836727142334,0.08237684518098831,0.074089914560318,432.1602478027344,1.5563464164733887,482.640625,0.23933922,0.24519919,1.0,1.0,10.0,0.01,1.0
4,1,1.9633386135101318,1.8999286890029907,19.042333602905273,0.8608973622322083,0.9450110197067261,0.3462173044681549,0.30409789085388184,371.9214172363281,1.6778802871704102,467.75,0.22024009,0.22656474,1.0,1.0,10.0,0.01,1.0
10,1,1.167292833328247,1.052032709121704,10.790371894836426,0.5864554643630981,0.6552810668945312,0.26706215739250183,0.2525154650211334,119.80987548828125,2.3392744064331055,479.75,0.11732615,0.12679979,1.0,1.0,10.0,0.01,1.0
20,1,0.6222935318946838,0.3285190165042877,3.926811695098877,0.33370667695999146,0.36574018001556396,0.19434359669685364,0.19085873663425446,16.234346389770508,3.398106336593628,489.953125,0.040726617,0.052558556,1.0,1.0,10.0,0.01,1.0
30,1,0.5791951417922974,0.3421340584754944,3.298994779586792,0.20927761495113373,0.22112901508808136,0.14128431677818298,0.13077662885189056,11.46564769744873,4.618816137313843,482.0625,0.042027365,0.04405228,1.0,1.0,10.0,0.01,1.0
40,1,0.42144641280174255,0.19648504257202148,2.0489578247070312,0.1658489853143692,0.15231147408485413,0.11450857669115067,0.09680500626564026,4.487639427185059,5.680121660232544,485.40625,0.022779329,0.02841208,1.0,1.0,10.0,0.01,1.0
50,1,0.31672531366348267,0.09452364593744278,1.1211551427841187,0.12367642670869827,0.12839213013648987,0.08797863870859146,0.07105110585689545,1.4108073711395264,6.753574848175049,511.46875,0.01142567,0.017299496,1.0,1.0,10.0,0.01,1.0
60,1,0.263689786195755,0.0653400868177414,0.6434914469718933,0.10884900391101837,0.11281681805849075,0.0635850578546524,0.04320009425282478,0.5183678269386292,7.840898513793945,506.328125,0.0078178765,0.011287909,1.0,1.0,10.0,0.01,1.0
70,1,0.2238292694091797,0.03567180410027504,0.4496518671512604,0.10842441767454147,0.1031251847743988,0.05839414522051811,0.0328817255795002,0.2804405391216278,8.932165622711182,501.71875,0.004268049,0.008558244,1.0,1.0,10.0,0.01,1.0
