epoch,frame,norm_fu,loss,walltime,memory,error_u
0,0,13.459362030029297,181.1544189453125,0.7114009857177734,381.640625,0.4210052
1,1,0.8856479525566101,0.7843723297119141,3.558234930038452,586.359375,0.003650695
2,1,1.060359239578247,1.1243616342544556,4.091147184371948,626.03125,0.09897569
3,1,1.7543485164642334,3.0777385234832764,4.47883939743042,640.6875,0.13487136
4,1,1.5994786024093628,2.5583319664001465,4.868688344955444,647.75,0.14658083
5,1,0.9700669646263123,0.9410299062728882,5.2566704750061035,647.78125,0.14851564
6,2,0.5176029801368713,0.2679128348827362,5.645663499832153,649.453125,0.14754377
7,2,0.25849127769470215,0.0668177381157875,6.037278413772583,653.1875,0.14642526
8,2,0.11607744544744492,0.01347397267818451,6.424029350280762,656.9375,0.1458548
9,2,0.045429058372974396,0.0020637991838157177,6.810213327407837,656.96875,0.14574671
