t,x,u
0.3359375,0.0546875,5.398406028689351e-05
0.3359375,0.1796875,0.006256291177123785
0.3359375,0.4140625,0.5715164095163345
0.3359375,0.4296875,0.6059632450342178
0.3359375,0.4453125,0.6443570107221603
0.3359375,0.4609375,0.6897405833005905
0.3359375,0.5703125,0.605963259935379
0.3359375,0.6796875,0.3798922523856163
0.3359375,0.9296875,0.0001062756036844803
0.3515625,0.0078125,4.436929316398164e-06
0.3515625,0.0234375,1.293578498007264e-05
0.3515625,0.2578125,0.16392573714256287
0.3515625,0.3359375,0.4160919860005379
0.3515625,0.6640625,0.41609200090169907
0.3515625,0.8203125,0.006272292463108897
0.3515625,0.9296875,0.00010666214438970201
0.3671875,0.0546875,5.440718359750463e-05
0.3671875,0.3828125,0.5084657520055771
0.3671875,0.4140625,0.569553330540657
0.3671875,0.5390625,0.6821160167455673
0.3671875,0.5859375,0.5695533156394958
0.3671875,0.6328125,0.478804811835289
0.3671875,0.6484375,0.44877511262893677
0.3671875,0.7578125,0.060746767558157444
0.3671875,0.8046875,0.010275761131197214
0.3671875,0.9453125,5.440718359750463e-05
0.3671875,0.9765625,1.2984421800865675e-05
0.3828125,0.0546875,5.4619724323856644e-05
0.3828125,0.1171875,0.0007082326919771731
0.3828125,0.1328125,0.0012663764064200222
0.3828125,0.1953125,0.010304005583748221
0.3828125,0.2890625,0.30900297313928604
0.3828125,0.3671875,0.4792804792523384
0.3828125,0.5234375,0.7282936275005341
0.3828125,0.6484375,0.44970912486314774
0.3828125,0.6796875,0.38642676919698715
0.3828125,0.8046875,0.010304005583748221
0.3828125,0.8984375,0.00038683731690980494
0.3828125,0.9453125,5.4619724323856644e-05
0.3984375,0.0234375,1.3080957160127582e-05
0.3984375,0.1015625,0.00038804895302746445
0.3984375,0.2109375,0.016578220296651125
0.3984375,0.2734375,0.2630704194307327
0.3984375,0.2890625,0.3127502575516701
0.3984375,0.3046875,0.3531666323542595
0.3984375,0.4609375,0.6742522865533829
0.3984375,0.6328125,0.4797307178378105
0.3984375,0.8203125,0.006320695858448744
0.3984375,0.9296875,0.00010782835852296557
0.4140625,0.1171875,0.0007123734540073201
0.4140625,0.3359375,0.4217321500182152
0.4140625,0.4453125,0.6320975422859192
0.4140625,0.4609375,0.669772744178772
0.4140625,0.5234375,0.7111606895923615
0.4140625,0.5859375,0.5668436288833618
0.4140625,0.7578125,0.09555760025978088
0.4296875,0.0078125,4.377803236366162e-06
0.4296875,0.0546875,5.5261275520024356e-05
0.4296875,0.0703125,0.0001086113479686901
0.4296875,0.3515625,0.45223449915647507
0.4296875,0.3671875,0.4805498942732811
0.4296875,0.4609375,0.664856806397438
0.4296875,0.8359375,0.003805255808401853
0.4296875,0.9453125,5.5261275520024356e-05
0.4453125,0.1796875,0.006369714974425733
0.4453125,0.2578125,0.21753643825650215
0.4453125,0.3203125,0.3936334028840065
0.4453125,0.3671875,0.48090875148773193
0.4453125,0.4453125,0.6262362152338028
0.4453125,0.5390625,0.659561961889267
0.4453125,0.6796875,0.3936334103345871
0.4453125,0.9921875,4.369957821381831e-06
0.4609375,0.0546875,5.5692262321827e-05
0.4609375,0.1328125,0.0012838183902204037
0.4609375,0.2578125,0.22416727617383003
0.4609375,0.3203125,0.39521899074316025
0.4609375,0.3515625,0.4536905661225319
0.4609375,0.4140625,0.5637097358703613
0.4609375,0.5078125,0.7035774439573288
0.4609375,0.8984375,0.00039292553265113384
0.4765625,0.0546875,5.590874661720591e-05
0.4765625,0.1015625,0.0003941522227250971
0.4765625,0.4453125,0.6193254888057709
0.4765625,0.4765625,0.6744856834411621
0.4765625,0.6484375,0.45433972030878067
0.4765625,0.7890625,0.016877739690244198
0.4765625,0.8359375,0.0038344106287695467
0.4765625,0.9609375,2.7790857529907953e-05
0.4921875,0.0546875,5.61258912057383e-05
0.4921875,0.4140625,0.5609953850507736
0.4921875,0.4296875,0.5881097167730331
0.4921875,0.6015625,0.5343552678823471
0.4921875,0.6328125,0.4816717877984047
0.4921875,0.6484375,0.4549279808998108
0.4921875,0.9296875,0.00011019065459549893
0.5078125,0.1328125,0.0012943864276167005
0.5078125,0.1484375,0.002258697582874447
0.5078125,0.2265625,0.046335422433912754
0.5078125,0.2421875,0.16550898924469948
0.5078125,0.2578125,0.24145207926630974
0.5078125,0.4921875,0.670508861541748
0.5078125,0.5390625,0.6365437507629395
0.5078125,0.6015625,0.5334843546152115
0.5078125,0.9765625,1.3414224895313964e-05
0.5234375,0.0546875,5.6562172176199965e-05
0.5234375,0.1015625,0.00039785046101314947
0.5234375,0.1640625,0.0038638508412986994
0.5234375,0.1953125,0.010566840879619122
0.5234375,0.2890625,0.336206778883934
0.5234375,0.3671875,0.4818236157298088
0.5234375,0.6640625,0.4290701374411583
0.5234375,0.7265625,0.29646291583776474
0.5234375,0.8359375,0.0038638508412986994
0.5234375,0.8515625,0.002264593029394746
0.5390625,0.2265625,0.06585722882300615
0.5390625,0.3046875,0.3719352260231972
0.5390625,0.4296875,0.5800751298666
0.5390625,0.4765625,0.6424086540937424
0.5390625,0.5078125,0.6524350941181183
0.5390625,0.6953125,0.37193523347377777
0.5390625,0.8359375,0.0038737287977710366
0.5390625,0.8515625,0.0022705045994371176
0.5390625,0.8828125,0.0007291363144759089
0.5546875,0.0078125,4.342700663073629e-06
0.5546875,0.1484375,0.0022764322930015624
0.5546875,0.1796875,0.0064866176107898355
0.5546875,0.3203125,0.4031032547354698
0.5546875,0.3671875,0.481632724404335
0.5546875,0.5546875,0.5994048416614532
0.5546875,0.5859375,0.5539236068725586
0.5546875,0.9296875,0.00011178785462107044
0.5703125,0.1171875,0.0007333775865845382
0.5703125,0.1796875,0.006503620999865234
0.5703125,0.2109375,0.01799497799947858
0.5703125,0.2265625,0.09008395858108997
0.5703125,0.2734375,0.3055977001786232
0.5703125,0.4453125,0.5952902138233185
0.5703125,0.5859375,0.5518768578767776
0.5703125,0.6015625,0.5288668274879456
0.5703125,0.8515625,0.0022823760518804193
0.5859375,0.1484375,0.0022883362253196537
0.5859375,0.1640625,0.003903560573235154
0.5859375,0.1796875,0.006520703434944153
0.5859375,0.2265625,0.10239939391613007
0.5859375,0.3203125,0.40509551763534546
0.5859375,0.3671875,0.48108893632888794
0.5859375,0.3984375,0.5274607539176941
0.5859375,0.5703125,0.5711879432201385
0.5859375,0.6328125,0.48108892887830734
0.5859375,0.6484375,0.45688892155885696
0.5859375,0.8671875,0.0013121740485075861
