epoch,loss,elapsed
1,2.9333986596570446e+02,0.00091108
2,2.0480517948194981e+02,0.00393350
3,1.4244075892522935e+02,0.00445867
4,1.2728758793950858e+02,0.00455508
5,1.1186500606245531e+02,0.00464596
6,1.0236697331175266e+02,0.00473833
7,9.1375811346532842e+01,0.00483400
8,7.6288747576628026e+01,0.00492779
9,6.9544238673983031e+01,0.00507242
10,6.5179638292675662e+01,0.00517025
11,6.1941472314450607e+01,0.00526954
12,5.8658278998016414e+01,0.00536825
13,5.3560062077440115e+01,0.00546592
14,4.8147762949866845e+01,0.00557275
15,4.5176574809538373e+01,0.00566975
16,4.2365782834256265e+01,0.00576721
17,4.0661085672992208e+01,0.00586354
18,3.8803229086092934e+01,0.00596092
19,3.6175678994072655e+01,0.00607483
20,3.4727660082046931e+01,0.00619267
21,3.2797314950743932e+01,0.00638671
22,3.1481618321186346e+01,0.00652158
23,3.0648137540229829e+01,0.00664617
24,2.9530155714961175e+01,0.00676475
25,2.8418460754761572e+01,0.00687479
26,2.7225301533808494e+01,0.00697337
27,2.6147546826313992e+01,0.00707137
28,2.5336474571469903e+01,0.00716888
29,2.4388099107086433e+01,0.00726679
30,2.3555010080924593e+01,0.00736367
31,2.2918189154047234e+01,0.00746729
32,2.2261454962872286e+01,0.00756987
33,2.1542546735230147e+01,0.00768775
34,2.0948969396241424e+01,0.00780567
35,2.0339657207365192e+01,0.00792417
36,1.9618991255156697e+01,0.00804229
37,1.9026330847317983e+01,0.00816208
38,1.8447318598023831e+01,0.00828200
39,1.8141200605005782e+01,0.00840171
40,1.7713012940851378e+01,0.00853242
41,1.7363134656077790e+01,0.00864396
42,1.6712240701076855e+01,0.00875821
43,1.6276527602336138e+01,0.00887346
44,1.5779819271629513e+01,0.00898429
45,1.4932820256547796e+01,0.00909600
46,1.4429133802450053e+01,0.00924758
47,1.3936049099493614e+01,0.00935962
48,1.3516890744162362e+01,0.00947100
49,1.3112199785609166e+01,0.00957225
50,1.2699783233037385e+01,0.00967329
51,1.2343718228867933e+01,0.00977712
52,1.2058806817702026e+01,0.00987787
53,1.1807710519156394e+01,0.00998142
54,1.1390747794953434e+01,0.01009458
55,1.0937527450142460e+01,0.01019537
56,1.0512281087428887e+01,0.01030429
57,1.0055090749712043e+01,0.01043383
58,9.7422538591748022e+00,0.01054529
59,9.3291663165997445e+00,0.01065983
60,9.0021095728947316e+00,0.01077400
61,8.6635824469540932e+00,0.01088592
62,8.2656931093664472e+00,0.01099821
63,7.8387795962092950e+00,0.01111183
64,7.6840582622095299e+00,0.01122908
65,7.4344588088206933e+00,0.01134017
66,7.2028895904116599e+00,0.01145279
67,6.9134087154669892e+00,0.01156542
68,6.5665196241449886e+00,0.01167750
69,6.3251990598315775e+00,0.01178963
70,6.0835289488778255e+00,0.01190117
71,5.7317283643291361e+00,0.01201354
72,5.5315735716811938e+00,0.01212783
73,5.2816783391172928e+00,0.01224033
74,5.0514098448843203e+00,0.01235237
75,4.8107459595609834e+00,0.01246904
76,4.6038680101402552e+00,0.01258217
