flow,K,sample,error
uniform,1,0,1.1028936341509272
uniform,1,1,1.3293243956562009
uniform,1,2,1.0920965199501893
uniform,1,3,1.1681503798522783
uniform,1,4,1.4057385391149353
uniform,1,5,1.2103595152673208
uniform,1,6,1.1478201105976638
uniform,1,7,1.1342877985940394
uniform,1,8,1.1974638080553177
uniform,1,9,0.9837138286663958
uniform,1,10,0.6717114922924949
uniform,1,11,1.1237430840844524
uniform,1,12,0.7435947509047907
uniform,1,13,0.64271193692921
uniform,1,14,0.9606420021831212
uniform,1,15,1.1054174019365703
uniform,1,16,1.095513625578775
uniform,1,17,0.9509501321455645
uniform,1,18,1.0132534515074383
uniform,1,19,0.7901275878909644
uniform,2,0,0.6633491997586916
uniform,2,1,0.7628420923989232
uniform,2,2,0.7981991896353247
uniform,2,3,0.5628306024603091
uniform,2,4,0.2693466351046485
uniform,2,5,0.6605965160909761
uniform,2,6,0.4565207228668555
uniform,2,7,1.299301287154364
uniform,2,8,0.5530596824840472
uniform,2,9,1.0254037510074454
uniform,2,10,0.5352678587615429
uniform,2,11,1.135943710785
uniform,2,12,0.38673267736808725
uniform,2,13,0.6427352293330983
uniform,2,14,0.7032453937907022
uniform,2,15,0.5401144634451072
uniform,2,16,0.4564725563292811
uniform,2,17,0.620738717815521
uniform,2,18,0.736015305844461
uniform,2,19,0.5541357034141612
uniform,4,0,0.3025233171150248
uniform,4,1,0.040023301605200956
uniform,4,2,0.39464199427026614
uniform,4,3,0.32129385480065054
uniform,4,4,0.26068409927037806
uniform,4,5,1.1595729335952285
uniform,4,6,0.27788893480564525
uniform,4,7,0.38376871113211664
uniform,4,8,0.32656770195580975
uniform,4,9,0.174942498486109
uniform,4,10,0.22973131739503572
uniform,4,11,0.19362463264039675
uniform,4,12,0.09122038328018789
uniform,4,13,0.20397406874280932
uniform,4,14,0.37468847968296615
uniform,4,15,0.2346912463962454
uniform,4,16,0.503277194831421
uniform,4,17,0.6838940688716839
uniform,4,18,0.3529478783838229
uniform,4,19,0.1648576250289704
uniform,6,0,0.04964920544496465
uniform,6,1,0.1845318863215395
uniform,6,2,0.07100973270529032
uniform,6,3,0.02826344758480337
uniform,6,4,0.20536047582701578
uniform,6,5,0.00901166875445103
uniform,6,6,0.3441712016377281
uniform,6,7,0.2391094876983324
uniform,6,8,0.015839725011744576
uniform,6,9,0.019737812575836955
uniform,6,10,0.07314656189601187
uniform,6,11,0.08902954253642292
uniform,6,12,0.1756666093760444
uniform,6,13,0.0859267166658313
uniform,6,14,0.04339503246094978
uniform,6,15,0.09653989707013721
uniform,6,16,0.12689438343320347
uniform,6,17,0.17267263761790197
uniform,6,18,0.10452959373235604
uniform,6,19,0.12159097701446342
uniform,8,0,0.009009304646628413
uniform,8,1,0.10048900048550635
uniform,8,2,0.04460704949348582
uniform,8,3,0.046010188314720146
uniform,8,4,0.04077402923438722
uniform,8,5,0.0039432886874020134
uniform,8,6,0.11375386035802038
uniform,8,7,0.06399478599668473
uniform,8,8,0.023208672280567555
uniform,8,9,0.01612043157431975
uniform,8,10,0.06192625022616127
uniform,8,11,0.009202623113216735
uniform,8,12,0.02661875016718529
uniform,8,13,0.03338663076989157
uniform,8,14,0.0034221140669585814
uniform,8,15,0.0785089428582566
uniform,8,16,0.09020434939780486
uniform,8,17,0.0055754398679898065
uniform,8,18,0.014270770031524549
uniform,8,19,0.09957654407218719
uniform,10,0,0.00448118584959456
uniform,10,1,0.008667480417452467
uniform,10,2,0.00041311591147308313
uniform,10,3,0.021001932833742742
uniform,10,4,0.00046575923586367196
uniform,10,5,0.06180901788685711
uniform,10,6,0.05831578807978888
uniform,10,7,0.0007924725928931675
uniform,10,8,0.06068961251236882
uniform,10,9,0.0006922854414685986
uniform,10,10,0.004074220332296985
uniform,10,11,0.002626509056248061
uniform,10,12,0.00040261703487676215
uniform,10,13,0.006960626503547562
uniform,10,14,0.008983854760904464
uniform,10,15,0.00047506581882661436
uniform,10,16,0.005426477993714762
uniform,10,17,0.014200719904006398
uniform,10,18,0.0823642809669991
uniform,10,19,0.12763225938102418
uniform,12,0,0.0008126901193279412
uniform,12,1,0.010291603403496552
uniform,12,2,0.002945738432732492
uniform,12,3,0.12154534865582711
uniform,12,4,0.0012393315387080328
uniform,12,5,0.006902479428109398
uniform,12,6,0.0003594152576305021
uniform,12,7,0.0009368169834678142
uniform,12,8,0.0007664899777346523
