flow,K,sample,error
uniform,1,0,1.2768338635400625
uniform,1,1,1.3568892341513958
uniform,2,0,0.9337158280151883
uniform,2,1,0.9833071745132429
uniform,4,0,0.6757335576990329
uniform,4,1,0.369765245848928
uniform,8,0,0.33573731595554435
uniform,8,1,0.3437165893319474
uniform,16,0,0.1718132350693955
uniform,16,1,0.09885734262774726
uniform,29,0,0.012231603478674913
uniform,29,1,0.004611097315209589
uniform,40,0,0.005942505427151579
uniform,40,1,0.021768123031596254
uniform,50,0,0.009977986213896006
uniform,50,1,0.004516633161753214
couette,1,0,0.49318328535406464
couette,1,1,0.5235188031315097
couette,2,0,0.42107059920628775
couette,2,1,0.5222423602128334
couette,4,0,0.19107762262214073
couette,4,1,0.40103953103237144
couette,8,0,0.1353815704766258
couette,8,1,0.13818887423282428
couette,16,0,0.01892533926207488
couette,16,1,0.03650778459362128
couette,29,0,0.05726668604589914
couette,29,1,0.01667646723500895
couette,40,0,0.004753643103731041
couette,40,1,0.0022650943959361645
couette,50,0,0.0031516212092244787
couette,50,1,0.010771283501588427
poiseuille,1,0,0.6689532311796094
poiseuille,1,1,0.845610036141493
poiseuille,2,0,0.4437952470626033
poiseuille,2,1,0.8336784131516201
poiseuille,4,0,0.3580479943353356
poiseuille,4,1,0.27811320767714603
poiseuille,8,0,0.043951424805242986
poiseuille,8,1,0.18274465003081594
poiseuille,16,0,0.18402049669238907
poiseuille,16,1,0.03324660181521827
poiseuille,29,0,0.005983157250744312
poiseuille,29,1,0.011615066252409
poiseuille,40,0,0.0035805852636379486
poiseuille,40,1,0.005063104167597763
poiseuille,50,0,0.002732140229217066
poiseuille,50,1,0.011935301460112586
cavity,1,0,0.19069673634736217
cavity,1,1,0.19905778018762943
cavity,2,0,0.17060076801881374
cavity,2,1,0.21208833770907054
cavity,4,0,0.15573864518726532
cavity,4,1,0.16124174004322578
cavity,8,0,0.09087013113084952
cavity,8,1,0.11286664765423149
cavity,16,0,0.07329535547792565
cavity,16,1,0.07380219724392623
cavity,29,0,0.05768648717973823
cavity,29,1,0.04724192657998261
cavity,40,0,0.04348017496334178
cavity,40,1,0.03781536147357434
cavity,50,0,0.03903033602881356
cavity,50,1,0.033179187172833746
