epoch,loss,pde,cont,mom,bc,data,eik,err_u,err_chi,kphi
1,5.694614710537427,5.694614710537427,0.0,5.694614710537427,0.0,0.0,0.0,0.0,0.0,9.993070929904524
200,3.5498545733925098,3.549560980971139,0.04739754905116481,3.5021634319199744,2.9359242137088193e-05,0.0,0.0,0.05116871361698896,0.0,8.705505632961241
400,2.2858082365600767,2.285056721902139,0.06297512866924142,2.2220815932328977,7.51514657937821e-05,0.0,0.0,0.10362412379619201,0.0,7.57858283255199
600,1.454504868030312,1.4518093585645648,0.07475341452059002,1.377055944043975,0.000269550946574734,0.0,0.0,0.15355252453766768,0.0,6.597539553864471
800,0.921985211244733,0.9165765008318416,0.08389679590023255,0.832679704931609,0.0005408710412891364,0.0,0.0,0.1980540322209932,0.0,5.743491774985174
1000,0.5954595161346272,0.5872042824176705,0.09061335807762902,0.49659092434004154,0.0008255233716956639,0.0,0.0,0.23628437953106887,0.0,5.0
1200,0.4040489755859328,0.3934446136450907,0.09495097466935117,0.29849363897573955,0.0010604361940842071,0.0,0.0,0.26812963385952865,0.0,4.352752816480621
1400,0.29560024055396006,0.2832685737430893,0.09682634791456536,0.1864422258285239,0.0012331666810870758,0.0,0.0,0.2939592793197111,0.0,3.7892914162759954
1600,0.23465684462689693,0.2211836665151978,0.09636167770970447,0.12482198880549332,0.0013473178111699136,0.0,0.0,0.31447626639115206,0.0,3.2987697769322355
1800,0.19949703802356333,0.1851941399024867,0.09422705222849154,0.09096708767399517,0.0014302898121076623,0.0,0.0,0.3305598460920905,0.0,2.871745887492587
2000,0.17741854348431932,0.16293612258073592,0.09108922617091435,0.07184689640982157,0.0014482420903583404,0.0,0.0,0.343144676658001,0.0,2.5
2200,0.16261262975931204,0.14801442843229937,0.08752365728673625,0.06049077114556311,0.0014598201327012672,0.0,0.0,0.3530745980020786,0.0,2.17637640824031
2400,0.15153199857227997,0.13719815233450675,0.08389107774507477,0.05330707458943197,0.0014333846237773239,0.0,0.0,0.3610634020079055,0.0,1.8946457081379977
2600,0.14305248583140492,0.12893418999498052,0.08038480557302496,0.04854938442195556,0.0014118295836424396,0.0,0.0,0.36765240273904504,0.0,1.6493848884661177
2800,0.13596251353853053,0.12224908375430193,0.07712032080231372,0.045128762951988206,0.0013713429784228605,0.0,0.0,0.3732507493025908,0.0,1.4358729437462938
3000,0.13012362067815436,0.11671726434586624,0.07413626848478962,0.04258099586107662,0.0013406356332288135,0.0,0.0,0.3781435378475478,0.0,1.25
3200,0.1251495547417818,0.1119618471421318,0.07139756023482882,0.04056428690730297,0.0013187707599650017,0.0,0.0,0.38249757015406916,0.0,1.088188204120155
3400,0.12080044849010056,0.10789320603231152,0.06887677239891571,0.03901643363339581,0.0012907242457789038,0.0,0.0,0.38645227235457413,0.0,1.0
3600,0.11682659820038983,0.1042613921864263,0.06656204024805669,0.03769935193836962,0.0012565206013963532,0.0,0.0,0.3900845818188256,0.0,1.0
3800,0.11329639608996844,0.10102742509979493,0.06444172765772521,0.036585697442069715,0.0012268970990173523,0.0,0.0,0.3934562742182102,0.0,1.0
4000,0.1100978014261108,0.09802976656369611,0.062466834237788336,0.03556293232590778,0.001206803486241468,0.0,0.0,0.39661488569248293,0.0,1.0
4200,0.10708391705616832,0.09530413280810511,0.060657139335165595,0.034646993472939515,0.0011779784248063213,0.0,0.0,0.3996006418010958,0.0,1.0
4400,0.1042836221615491,0.09278565323383008,0.05898313447900819,0.03380251875482189,0.0011497968927719018,0.0,0.0,0.40243331117528797,0.0,1.0
4600,0.10170447338912364,0.09044083950265173,0.05742660060322934,0.03301423889942239,0.0011263633886471913,0.0,0.0,0.40515221183503075,0.0,1.0
4800,0.09944600062582899,0.08826912767049523,0.055959644522684315,0.03230948314781092,0.001117687295533376,0.0,0.0,0.40777181035678617,0.0,1.0
5000,0.09704462825120254,0.08616718889609064,0.05459418540183303,0.031573003494257616,0.0010877439355111904,0.0,0.0,0.41032714076592514,0.0,1.0
5200,0.09479609393770164,0.08420350154874347,0.053290973186936916,0.03091252836180655,0.0010592592388958175,0.0,0.0,0.41278949203906634,0.0,1.0
